id,text_en,text_native,true_dept
c01,"There are sparks coming out of the transformer box on our street and it smells like burning. Please send someone immediately, it's dangerous especially with children playing nearby.","ನಮ್ಮ ಬೀದಿಯಲ್ಲಿರುವ ಟ್ರಾನ್ಸ್‌ಫಾರ್ಮರ್ ಬಾಕ್ಸ್‌ನಿಂದ ಕಿಡಿಗಳು ಹಾರುತ್ತಿವೆ ಮತ್ತು ಸುಟ್ಟ ವಾಸನೆ ಬರುತ್ತಿದೆ. ದಯವಿಟ್ಟು ತಕ್ಷಣ ಯಾರನ್ನಾದರೂ ಕಳುಹಿಸಿ, ಮಕ್ಕಳು ಹತ್ತಿರದಲ್ಲಿ ಆಡುತ್ತಿರುವುದರಿಂದ ಇದು ತುಂಬಾ ಅಪಾಯಕಾರಿ.",electrical_emergency
c02,"The streetlight on our lane has been flickering for two weeks now and needs a repair visit.","ನಮ್ಮ ಗಲ್ಲಿಯ ಬೀದಿ ದೀಪವು ಎರಡು ವಾರಗಳಿಂದ ಫ್ಲಿಕರ್ ಆಗುತ್ತಿದೆ, ದುರಸ್ತಿ ಮಾಡಿಸಬೇಕಾಗಿದೆ.",electrical_maintenance
c03,"A live wire has fallen onto the road after last night's storm and is lying uncovered near the bus stop. This is an emergency, please act fast.","ನಿನ್ನೆ ರಾತ್ರಿಯ ಬಿರುಗಾಳಿಯ ನಂತರ ಒಂದು ವಿದ್ಯುತ್ ತಂತಿ ರಸ್ತೆಯ ಮೇಲೆ ಬಿದ್ದಿದೆ ಮತ್ತು ಬಸ್ ನಿಲ್ದಾಣದ ಬಳಿ ಮುಚ್ಚಿಲ್ಲದೆ ಬಿದ್ದಿದೆ. ಇದು ತುರ್ತು ಪರಿಸ್ಥಿತಿ, ದಯವಿಟ್ಟು ಬೇಗ ಕ್ರಮ ತೆಗೆದುಕೊಳ್ಳಿ.",electrical_emergency
c04,"Two of the four streetlights near the park are completely out and the area is dark at night.","ಪಾರ್ಕ್ ಬಳಿಯ ನಾಲ್ಕರಲ್ಲಿ ಎರಡು ಬೀದಿ ದೀಪಗಳು ಸಂಪೂರ್ಣವಾಗಿ ಆರಿ ಹೋಗಿವೆ ಮತ್ತು ರಾತ್ರಿ ಆ ಪ್ರದೇಶ ಕತ್ತಲಾಗಿದೆ.",electrical_maintenance
c05,"There has been no water supply in our colony for the past three days. Please restore the connection urgently.","ನಮ್ಮ ಕಾಲೋನಿಯಲ್ಲಿ ಕಳೆದ ಮೂರು ದಿನಗಳಿಂದ ನೀರು ಪೂರೈಕೆ ಇಲ್ಲ. ದಯವಿಟ್ಟು ತುರ್ತಾಗಿ ಸಂಪರ್ಕ ಪುನಃಸ್ಥಾಪಿಸಿ.",water_supply
c06,"The main pipeline near the market has burst and water is gushing onto the road, wasting a huge amount of water. This needs immediate repair.","ಮಾರುಕಟ್ಟೆ ಬಳಿಯ ಮುಖ್ಯ ಪೈಪ್‌ಲೈನ್ ಒಡೆದಿದ್ದು ನೀರು ರಸ್ತೆಯ ಮೇಲೆ ಉಕ್ಕಿ ಹರಿಯುತ್ತಿದೆ, ಇದರಿಂದ ಸಾಕಷ್ಟು ನೀರು ವ್ಯರ್ಥವಾಗುತ್ತಿದೆ. ಇದನ್ನು ತಕ್ಷಣ ದುರಸ್ತಿ ಮಾಡಬೇಕು.",water_supply
c07,"The storm drain outside our house is completely blocked with garbage and water is flooding into homes during rain.","ನಮ್ಮ ಮನೆಯ ಹೊರಗಿನ ಚರಂಡಿ ಕಸದಿಂದ ಸಂಪೂರ್ಣ ಬ್ಲಾಕ್ ಆಗಿದೆ ಮತ್ತು ಮಳೆ ಬಂದಾಗ ನೀರು ಮನೆಗಳೊಳಗೆ ನುಗ್ಗುತ್ತಿದೆ.",drainage
c08,"Sewage water from the drain is overflowing onto the street every evening and creating a health hazard for the whole neighbourhood, please attend urgently.","ಚರಂಡಿಯಿಂದ ಕೊಳಚೆ ನೀರು ಪ್ರತಿ ಸಂಜೆ ರಸ್ತೆಯ ಮೇಲೆ ಉಕ್ಕಿ ಹರಿಯುತ್ತಿದ್ದು, ಇಡೀ ಪ್ರದೇಶಕ್ಕೆ ಆರೋಗ್ಯ ಅಪಾಯ ಉಂಟುಮಾಡುತ್ತಿದೆ, ದಯವಿಟ್ಟು ತುರ್ತಾಗಿ ಗಮನಹರಿಸಿ.",drainage
c09,"There is a large pothole in the middle of the main road that has caused two accidents this week.","ಮುಖ್ಯ ರಸ್ತೆಯ ಮಧ್ಯದಲ್ಲಿ ದೊಡ್ಡ ಗುಂಡಿ ಇದ್ದು, ಈ ವಾರ ಎರಡು ಅಪಘಾತಗಳಿಗೆ ಕಾರಣವಾಗಿದೆ.",roads
c10,"The road near the junction has been dug up for cable work a month ago and never repaved, causing traffic jams daily.","ಕೇಬಲ್ ಕೆಲಸಕ್ಕಾಗಿ ಒಂದು ತಿಂಗಳ ಹಿಂದೆ ಜಂಕ್ಷನ್ ಬಳಿಯ ರಸ್ತೆಯನ್ನು ಅಗೆದಿದ್ದು, ಇನ್ನೂ ಮತ್ತೆ ಹಾಕಿಲ್ಲ, ಇದರಿಂದ ಪ್ರತಿದಿನ ಟ್ರಾಫಿಕ್ ಜಾಮ್ ಆಗುತ್ತಿದೆ.",roads
c11,"Garbage has not been collected from our street for over a week and it is piling up and attracting stray animals.","ನಮ್ಮ ಬೀದಿಯಿಂದ ಒಂದು ವಾರಕ್ಕೂ ಹೆಚ್ಚು ಕಾಲ ಕಸ ಸಂಗ್ರಹಿಸಿಲ್ಲ, ಇದು ರಾಶಿಯಾಗಿ ಬೀದಿ ನಾಯಿಗಳನ್ನು ಆಕರ್ಷಿಸುತ್ತಿದೆ.",sanitation
c12,"The public toilet near the bus stand is filthy and has not been cleaned in a long time.","ಬಸ್ ನಿಲ್ದಾಣದ ಬಳಿಯ ಸಾರ್ವಜನಿಕ ಶೌಚಾಲಯ ಬಹಳ ಕೊಳಕಾಗಿದ್ದು, ಬಹಳ ದಿನಗಳಿಂದ ಸ್ವಚ್ಛಗೊಳಿಸಿಲ್ಲ.",sanitation
c13,"Our neighbour's compound wall has an exposed electric wire on it and it gave someone a mild shock yesterday. Please treat this as urgent.","ನಮ್ಮ ನೆರೆಹೊರೆಯವರ ಕಾಂಪೌಂಡ್ ಗೋಡೆಯ ಮೇಲೆ ತೆರೆದ ವಿದ್ಯುತ್ ತಂತಿ ಇದ್ದು, ನಿನ್ನೆ ಯಾರಿಗೋ ಸಣ್ಣ ಶಾಕ್ ಹೊಡೆದಿದೆ. ದಯವಿಟ್ಟು ಇದನ್ನು ತುರ್ತು ಎಂದು ಪರಿಗಣಿಸಿ.",electrical_emergency
c14,"The electricity meter reading seems wrong and our bill has doubled this month, please send someone to check it.","ನಮ್ಮ ವಿದ್ಯುತ್ ಮೀಟರ್ ರೀಡಿಂಗ್ ತಪ್ಪಾಗಿ ಕಾಣುತ್ತಿದೆ ಮತ್ತು ಈ ತಿಂಗಳ ಬಿಲ್ ದುಪ್ಪಟ್ಟಾಗಿದೆ, ದಯವಿಟ್ಟು ಪರಿಶೀಲಿಸಲು ಯಾರನ್ನಾದರೂ ಕಳುಹಿಸಿ.",electrical_maintenance
c15,"The water we are getting from the tap is muddy and smells bad, we suspect contamination.","ನಲ್ಲಿಯಿಂದ ಬರುತ್ತಿರುವ ನೀರು ಕೆಸರು ಮಿಶ್ರಿತವಾಗಿದ್ದು ಕೆಟ್ಟ ವಾಸನೆ ಬರುತ್ತಿದೆ, ಇದು ಕಲುಷಿತವಾಗಿರಬಹುದು ಎಂದು ನಮಗೆ ಅನುಮಾನವಿದೆ.",water_supply
c16,"After yesterday's rain, the drainage near our apartment overflowed and mixed with the road, and now there is a bad smell everywhere.","ನಿನ್ನೆಯ ಮಳೆಯ ನಂತರ, ನಮ್ಮ ಅಪಾರ್ಟ್‌ಮೆಂಟ್ ಬಳಿಯ ಚರಂಡಿ ಉಕ್ಕಿ ರಸ್ತೆಯೊಂದಿಗೆ ಬೆರೆತಿದ್ದು, ಈಗ ಎಲ್ಲೆಡೆ ದುರ್ವಾಸನೆ ಇದೆ.",drainage
c17,"The footpath tiles are broken and uneven, making it difficult and dangerous for elderly people to walk.","ಪಾದಚಾರಿ ಮಾರ್ಗದ ಟೈಲ್ಸ್ ಒಡೆದು ಅಸಮವಾಗಿದ್ದು, ಇದು ವಯಸ್ಸಾದವರಿಗೆ ನಡೆಯಲು ಕಷ್ಟ ಮತ್ತು ಅಪಾಯಕಾರಿಯಾಗಿದೆ.",roads
c18,"A dead animal carcass has been lying on the roadside for two days and nobody has removed it despite complaints.","ರಸ್ತೆಬದಿಯಲ್ಲಿ ಎರಡು ದಿನಗಳಿಂದ ಸತ್ತ ಪ್ರಾಣಿಯ ಶವ ಬಿದ್ದಿದ್ದು, ದೂರು ನೀಡಿದ್ದರೂ ಯಾರೂ ಅದನ್ನು ತೆಗೆದಿಲ್ಲ.",sanitation
c19,"Water pressure in our area has been extremely low for the past week, we barely get any water in the mornings.","ನಮ್ಮ ಪ್ರದೇಶದಲ್ಲಿ ಕಳೆದ ಒಂದು ವಾರದಿಂದ ನೀರಿನ ಒತ್ತಡ ತುಂಬಾ ಕಡಿಮೆಯಾಗಿದ್ದು, ಬೆಳಿಗ್ಗೆ ಬಹುತೇಕ ನೀರೇ ಬರುತ್ತಿಲ್ಲ.",water_supply
c20,"A transformer near the community hall is making loud buzzing noises and sparking intermittently in the evening, residents are scared it might catch fire.","ಸಮುದಾಯ ಭವನದ ಬಳಿಯ ಟ್ರಾನ್ಸ್‌ಫಾರ್ಮರ್ ಸಂಜೆ ಜೋರಾಗಿ ಗುಂಯ್ ಎಂದು ಶಬ್ದ ಮಾಡುತ್ತಾ ಮಧ್ಯೆ ಮಧ್ಯೆ ಕಿಡಿ ಹಾರಿಸುತ್ತಿದೆ, ಬೆಂಕಿ ಹೊತ್ತಿಕೊಳ್ಳಬಹುದೆಂದು ನಿವಾಸಿಗಳು ಭಯಗೊಂಡಿದ್ದಾರೆ.",electrical_emergency
