id,language,condition,predicted_dept,true_dept,correct
c01,en,clean,electrical_emergency,electrical_emergency,True
c01,en,truncated,electrical_emergency,electrical_emergency,True
c01,en,small_model,electrical_emergency,electrical_emergency,True
c01,native,clean,electrical_emergency,electrical_emergency,True
c01,native,truncated,,electrical_emergency,False
c01,native,small_model,electrical_emergency,electrical_emergency,True
c02,en,clean,electrical_maintenance,electrical_maintenance,True
c02,en,truncated,electrical_maintenance,electrical_maintenance,True
c02,en,small_model,electrical_maintenance,electrical_maintenance,True
c02,native,clean,electrical_maintenance,electrical_maintenance,True
c02,native,truncated,electrical_maintenance,electrical_maintenance,True
c02,native,small_model,electrical_maintenance,electrical_maintenance,True
c03,en,clean,electrical_emergency,electrical_emergency,True
c03,en,truncated,electrical_emergency,electrical_emergency,True
c03,en,small_model,,electrical_emergency,False
c03,native,clean,electrical_emergency,electrical_emergency,True
c03,native,truncated,,electrical_emergency,False
c03,native,small_model,,electrical_emergency,False
c04,en,clean,electrical_maintenance,electrical_maintenance,True
c04,en,truncated,electrical_maintenance,electrical_maintenance,True
c04,en,small_model,electrical_maintenance,electrical_maintenance,True
c04,native,clean,electrical_maintenance,electrical_maintenance,True
c04,native,truncated,electrical_maintenance,electrical_maintenance,True
c04,native,small_model,electrical_maintenance,electrical_maintenance,True
c05,en,clean,water_supply,water_supply,True
c05,en,truncated,water_supply,water_supply,True
c05,en,small_model,water_supply,water_supply,True
c05,native,clean,water_supply,water_supply,True
c05,native,truncated,,water_supply,False
c05,native,small_model,water_supply,water_supply,True
c06,en,clean,water_supply,water_supply,True
c06,en,truncated,water_supply,water_supply,True
c06,en,small_model,water_supply,water_supply,True
c06,native,clean,water_supply,water_supply,True
c06,native,truncated,water_supply,water_supply,True
c06,native,small_model,water_supply,water_supply,True
c07,en,clean,drainage,drainage,True
c07,en,truncated,drainage,drainage,True
c07,en,small_model,drainage,drainage,True
c07,native,clean,drainage,drainage,True
c07,native,truncated,drainage,drainage,True
c07,native,small_model,drainage,drainage,True
c08,en,clean,drainage,drainage,True
c08,en,truncated,drainage,drainage,True
c08,en,small_model,drainage,drainage,True
c08,native,clean,drainage,drainage,True
c08,native,truncated,drainage,drainage,True
c08,native,small_model,drainage,drainage,True
c09,en,clean,roads,roads,True
c09,en,truncated,roads,roads,True
c09,en,small_model,roads,roads,True
c09,native,clean,roads,roads,True
c09,native,truncated,roads,roads,True
c09,native,small_model,roads,roads,True
c10,en,clean,roads,roads,True
c10,en,truncated,roads,roads,True
c10,en,small_model,roads,roads,True
c10,native,clean,roads,roads,True
c10,native,truncated,,roads,False
c10,native,small_model,roads,roads,True
c11,en,clean,sanitation,sanitation,True
c11,en,truncated,sanitation,sanitation,True
c11,en,small_model,sanitation,sanitation,True
c11,native,clean,sanitation,sanitation,True
c11,native,truncated,sanitation,sanitation,True
c11,native,small_model,sanitation,sanitation,True
c12,en,clean,sanitation,sanitation,True
c12,en,truncated,sanitation,sanitation,True
c12,en,small_model,sanitation,sanitation,True
c12,native,clean,sanitation,sanitation,True
c12,native,truncated,sanitation,sanitation,True
c12,native,small_model,sanitation,sanitation,True
c13,en,clean,electrical_emergency,electrical_emergency,True
c13,en,truncated,,electrical_emergency,False
c13,en,small_model,,electrical_emergency,False
c13,native,clean,electrical_emergency,electrical_emergency,True
c13,native,truncated,,electrical_emergency,False
c13,native,small_model,electrical_emergency,electrical_emergency,True
c14,en,clean,electrical_maintenance,electrical_maintenance,True
c14,en,truncated,electrical_maintenance,electrical_maintenance,True
c14,en,small_model,electrical_maintenance,electrical_maintenance,True
c14,native,clean,electrical_maintenance,electrical_maintenance,True
c14,native,truncated,electrical_maintenance,electrical_maintenance,True
c14,native,small_model,electrical_maintenance,electrical_maintenance,True
c15,en,clean,water_supply,water_supply,True
c15,en,truncated,water_supply,water_supply,True
c15,en,small_model,,water_supply,False
c15,native,clean,water_supply,water_supply,True
c15,native,truncated,water_supply,water_supply,True
c15,native,small_model,,water_supply,False
c16,en,clean,drainage,drainage,True
c16,en,truncated,drainage,drainage,True
c16,en,small_model,drainage,drainage,True
c16,native,clean,drainage,drainage,True
c16,native,truncated,,drainage,False
c16,native,small_model,drainage,drainage,True
c17,en,clean,roads,roads,True
c17,en,truncated,roads,roads,True
c17,en,small_model,,roads,False
c17,native,clean,roads,roads,True
c17,native,truncated,roads,roads,True
c17,native,small_model,,roads,False
c18,en,clean,sanitation,sanitation,True
c18,en,truncated,sanitation,sanitation,True
c18,en,small_model,,sanitation,False
c18,native,clean,sanitation,sanitation,True
c18,native,truncated,,sanitation,False
c18,native,small_model,,sanitation,False
c19,en,clean,water_supply,water_supply,True
c19,en,truncated,water_supply,water_supply,True
c19,en,small_model,,water_supply,False
c19,native,clean,water_supply,water_supply,True
c19,native,truncated,,water_supply,False
c19,native,small_model,,water_supply,False
c20,en,clean,electrical_emergency,electrical_emergency,True
c20,en,truncated,,electrical_emergency,False
c20,en,small_model,electrical_emergency,electrical_emergency,True
c20,native,clean,electrical_emergency,electrical_emergency,True
c20,native,truncated,,electrical_emergency,False
c20,native,small_model,electrical_emergency,electrical_emergency,True
